Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",161.200000,-94.400000,-90.000000,top
"C2","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",151.200000,-82.800000,90.000000,top
"C3","2.2u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",80.800000,-70.800000,-90.000000,top
"C4","2.2u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",108.500000,-71.000000,-90.000000,top
"F1","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.300000,-121.500000,180.000000,top
"F2","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.300000,-118.000000,180.000000,top
"F3","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-114.500000,180.000000,top
"F4","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-111.000000,180.000000,top
"F5","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.300000,-107.500000,180.000000,top
"F6","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-104.000000,180.000000,top
"F7","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-100.500000,180.000000,top
"F8","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-97.000000,180.000000,top
"F9","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-93.500000,180.000000,top
"F10","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-90.000000,180.000000,top
"F11","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-86.500000,180.000000,top
"F12","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-83.000000,180.000000,top
"F13","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-79.500000,180.000000,top
"F14","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.300000,-76.000000,180.000000,top
"F15","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.312500,-72.500000,180.000000,top
"F16","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",69.300000,-69.000000,180.000000,top
"J1","Conn_02x08_Counter_Clockwise","Molex_Micro-Fit_3.0_43045-1600_2x08_P3.00mm_Horizontal",126.750000,-79.335000,0.000000,top
"J2","Conn_02x08_Counter_Clockwise","Molex_Micro-Fit_3.0_43045-1600_2x08_P3.00mm_Horizontal",147.750000,-107.665000,180.000000,top
"J3","Conn_02x09_Top_Bottom","Molex_Micro-Fit_3.0_43045-1800_2x09_P3.00mm_Horizontal",85.000000,-89.000000,-90.000000,top
"J4","Conn_01x18","Wago_734-148_1x18_P3.50mm_Vertical",74.000000,-125.000000,90.000000,top
"J5","Conn_01x02","Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal",107.320000,-58.500000,90.000000,top
"Q1","BSS123","SOT-23",161.800000,-70.800000,0.000000,top
"Q2","BSS123","SOT-23",116.437500,-78.000000,180.000000,top
"R1","680R","R_0805_2012Metric",147.750000,-86.162500,-90.000000,top
"R2","680R","R_0805_2012Metric",144.750000,-86.162500,-90.000000,top
"R3","680R","R_0805_2012Metric",141.750000,-86.162500,-90.000000,top
"R4","680R","R_0805_2012Metric",138.750000,-86.162500,-90.000000,top
"R5","680R","R_0805_2012Metric",135.750000,-86.162500,-90.000000,top
"R6","680R","R_0805_2012Metric",132.750000,-86.162500,-90.000000,top
"R7","680R","R_0805_2012Metric",129.750000,-86.162500,-90.000000,top
"R8","680R","R_0805_2012Metric",126.750000,-86.162500,-90.000000,top
"R9","680R","R_0805_2012Metric",126.750000,-101.000000,90.000000,top
"R10","680R","R_0805_2012Metric",129.750000,-101.000000,90.000000,top
"R11","680R","R_0805_2012Metric",132.750000,-101.000000,90.000000,top
"R12","680R","R_0805_2012Metric",135.750000,-101.000000,90.000000,top
"R13","680R","R_0805_2012Metric",138.750000,-101.000000,90.000000,top
"R14","680R","R_0805_2012Metric",141.750000,-101.000000,90.000000,top
"R15","680R","R_0805_2012Metric",144.750000,-101.000000,90.000000,top
"R16","680R","R_0805_2012Metric",147.750000,-101.000000,90.000000,top
"R17","16k","R_0805_2012Metric",151.200000,-87.300000,180.000000,top
"R18","16k","R_0805_2012Metric",112.500000,-78.000000,90.000000,top
"U1","74CBTLV3257","SOIC-16_3.9x9.9mm_P1.27mm",156.400000,-78.200000,180.000000,top
"U2","74CBTLV3257","SOIC-16_3.9x9.9mm_P1.27mm",156.400000,-98.500000,0.000000,top
"U3","TEC2-4812WI","Converter_DCDC_TRACO_TMR-xxxx_THT",114.000000,-72.080000,90.000000,top
"U4","TEC2-4810WI","Converter_DCDC_TRACO_TMR-xxxx_THT",85.000000,-72.000000,0.000000,top
